cancer_type,ablation_scenario,omitted_components,retained_weight,common_gene_count,top_k,top_k_overlap_count,top_k_jaccard,spearman_consensus_score,median_baseline_top_k_rank_shift,median_absolute_score_delta,max_absolute_score_delta,baseline_prioritized_count,fixed_threshold_retained_count,fixed_threshold_retention_rate,sensitivity_tier,evaluation_caveat
TCGA-BRCA,without_reference_triangulation,reference_component,0.9,36092,100,76,0.612903,0.942279,31.0,0.064844,0.094201,90,54,0.6,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36092,250,168,0.506024,0.67159,72.0,0.193867,0.373299,90,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_external_validation,external_component,0.85,36092,250,208,0.712329,0.886049,22.0,0.098609,0.134638,90,12,0.133333,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_paired_support,paired_component,0.8,36092,250,224,0.811594,0.779957,12.0,0.063203,0.167257,90,5,0.055556,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-BRCA,without_reference_triangulation,reference_component,0.9,36092,250,176,0.54321,0.942279,47.0,0.064844,0.094201,90,54,0.6,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36309,25,3,0.06383,0.694598,65.0,0.189133,0.334813,2,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_external_validation,external_component,0.85,36309,25,17,0.515152,0.881206,7.0,0.097909,0.135033,2,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_paired_support,paired_component,0.8,36309,25,21,0.724138,0.80942,1.0,0.061515,0.142842,2,0,0.0,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_reference_triangulation,reference_component,0.9,36309,25,13,0.351351,0.937753,17.0,0.063687,0.094191,2,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36309,50,21,0.265823,0.694598,31.5,0.189133,0.334813,2,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_external_validation,external_component,0.85,36309,50,42,0.724138,0.881206,8.5,0.097909,0.135033,2,0,0.0,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_paired_support,paired_component,0.8,36309,50,45,0.818182,0.80942,3.0,0.061515,0.142842,2,0,0.0,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_reference_triangulation,reference_component,0.9,36309,50,30,0.428571,0.937753,19.5,0.063687,0.094191,2,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36309,100,73,0.574803,0.694598,38.0,0.189133,0.334813,2,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_external_validation,external_component,0.85,36309,100,90,0.818182,0.881206,12.0,0.097909,0.135033,2,0,0.0,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_paired_support,paired_component,0.8,36309,100,92,0.851852,0.80942,5.5,0.061515,0.142842,2,0,0.0,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_reference_triangulation,reference_component,0.9,36309,100,81,0.680672,0.937753,22.0,0.063687,0.094191,2,0,0.0,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36309,250,130,0.351351,0.694598,134.5,0.189133,0.334813,2,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_external_validation,external_component,0.85,36309,250,167,0.501502,0.881206,33.5,0.097909,0.135033,2,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_paired_support,paired_component,0.8,36309,250,205,0.694915,0.80942,29.0,0.061515,0.142842,2,0,0.0,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-COAD,without_reference_triangulation,reference_component,0.9,36309,250,136,0.373626,0.937753,82.5,0.063687,0.094191,2,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36199,25,6,0.136364,0.700451,28.0,0.19856,0.352029,102,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_external_validation,external_component,0.85,36199,25,16,0.470588,0.902312,11.0,0.098365,0.132343,102,18,0.176471,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_paired_support,paired_component,0.8,36199,25,21,0.724138,0.788401,4.0,0.062471,0.157013,102,18,0.176471,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_reference_triangulation,reference_component,0.9,36199,25,14,0.388889,0.956429,12.0,0.06442,0.094187,102,78,0.764706,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36199,50,26,0.351351,0.700451,29.0,0.19856,0.352029,102,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_external_validation,external_component,0.85,36199,50,34,0.515152,0.902312,12.5,0.098365,0.132343,102,18,0.176471,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_paired_support,paired_component,0.8,36199,50,42,0.724138,0.788401,5.0,0.062471,0.157013,102,18,0.176471,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_reference_triangulation,reference_component,0.9,36199,50,33,0.492537,0.956429,21.5,0.06442,0.094187,102,78,0.764706,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36199,100,64,0.470588,0.700451,31.5,0.19856,0.352029,102,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_external_validation,external_component,0.85,36199,100,82,0.694915,0.902312,18.0,0.098365,0.132343,102,18,0.176471,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_paired_support,paired_component,0.8,36199,100,88,0.785714,0.788401,11.0,0.062471,0.157013,102,18,0.176471,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_reference_triangulation,reference_component,0.9,36199,100,81,0.680672,0.956429,25.0,0.06442,0.094187,102,78,0.764706,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_explicit_reference_components,"reference_component,external_component,paired_component",0.55,36199,250,170,0.515152,0.700451,71.0,0.19856,0.352029,102,0,0.0,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_external_validation,external_component,0.85,36199,250,200,0.666667,0.902312,25.0,0.098365,0.132343,102,18,0.176471,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_paired_support,paired_component,0.8,36199,250,213,0.74216,0.788401,17.0,0.062471,0.157013,102,18,0.176471,moderate,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
TCGA-LUAD,without_reference_triangulation,reference_component,0.9,36199,250,185,0.587302,0.956429,39.5,0.06442,0.094187,102,78,0.764706,sensitive,Ablation removes explicit consensus score components and renormalizes retained weights; other components can retain upstream dependence on the same expression sources. Fixed-threshold retention uses the full-model cutoff descriptively and does not determine the sensitivity tier.
