cancer_type,method_a,method_b,common_gene_count,top_k,top_k_a_count,top_k_b_count,top_k_overlap_count,top_k_jaccard,top_k_direction_concordance,universe_direction_concordance,regulated_union_gene_count,regulated_direction_concordance,spearman_abs_effect,median_abs_effect_delta,agreement_tier,evaluation_caveat
TCGA-COAD,gtex_native,recount3_uniform,36004,50,50,50,20,0.25,1.0,0.779191,13169,0.39631,0.748199,0.237635,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,gtex_native,tcga_adjacent,36004,50,50,50,1,0.010101,1.0,0.818937,8002,0.185329,0.812312,0.088788,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,tcga_adjacent,recount3_uniform,36004,50,50,50,2,0.020408,1.0,0.695812,12507,0.12433,0.618475,0.293493,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,gtex_native,recount3_uniform,36004,100,100,100,47,0.30719,1.0,0.779191,13169,0.39631,0.748199,0.237635,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,gtex_native,tcga_adjacent,36004,100,100,100,5,0.025641,1.0,0.818937,8002,0.185329,0.812312,0.088788,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,tcga_adjacent,recount3_uniform,36004,100,100,100,8,0.041667,1.0,0.695812,12507,0.12433,0.618475,0.293493,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,gtex_native,recount3_uniform,36004,250,250,250,135,0.369863,1.0,0.779191,13169,0.39631,0.748199,0.237635,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,gtex_native,tcga_adjacent,36004,250,250,250,24,0.05042,0.833333,0.818937,8002,0.185329,0.812312,0.088788,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-COAD,tcga_adjacent,recount3_uniform,36004,250,250,250,28,0.059322,0.928571,0.695812,12507,0.12433,0.618475,0.293493,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,gtex_native,recount3_uniform,36004,25,25,25,1,0.020408,1.0,0.811104,10517,0.353333,0.711792,0.173026,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,gtex_native,tcga_adjacent,36004,25,25,25,1,0.020408,1.0,0.862376,6721,0.262759,0.807752,0.082559,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,tcga_adjacent,recount3_uniform,36004,25,25,25,3,0.06383,1.0,0.788329,9487,0.19669,0.627422,0.237726,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,gtex_native,recount3_uniform,36004,50,50,50,3,0.030928,1.0,0.811104,10517,0.353333,0.711792,0.173026,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,gtex_native,tcga_adjacent,36004,50,50,50,1,0.010101,1.0,0.862376,6721,0.262759,0.807752,0.082559,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,tcga_adjacent,recount3_uniform,36004,50,50,50,6,0.06383,1.0,0.788329,9487,0.19669,0.627422,0.237726,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,gtex_native,recount3_uniform,36004,100,100,100,10,0.052632,1.0,0.811104,10517,0.353333,0.711792,0.173026,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,gtex_native,tcga_adjacent,36004,100,100,100,8,0.041667,1.0,0.862376,6721,0.262759,0.807752,0.082559,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,tcga_adjacent,recount3_uniform,36004,100,100,100,19,0.104972,1.0,0.788329,9487,0.19669,0.627422,0.237726,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,gtex_native,recount3_uniform,36004,250,250,250,47,0.103753,0.978723,0.811104,10517,0.353333,0.711792,0.173026,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,gtex_native,tcga_adjacent,36004,250,250,250,44,0.096491,0.977273,0.862376,6721,0.262759,0.807752,0.082559,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
TCGA-LUAD,tcga_adjacent,recount3_uniform,36004,250,250,250,50,0.111111,1.0,0.788329,9487,0.19669,0.627422,0.237726,limited,Agreement compares effect rankings on a shared cancer-specific gene universe; it does not separate technical batch effects from biological tissue and cohort differences.
